datetime,daily_return
2023-01-03,0.014449602261339426
2023-01-04,0.006012103730717011
2023-01-05,0.019118699224776915
2023-01-06,0.00154177861794882
2023-01-09,0.012289797889834714
2023-01-10,0.00044143858283905035
2023-01-11,0.003288670939061884
2023-01-12,0.0027661612686318933
2023-01-13,0.01155552621191499
2023-01-16,0.018135364179531755
2023-01-17,0.0036761726332910165
2023-01-18,-0.002690324957955077
2023-01-19,0.013303106222141932
2023-01-20,0.0028858332305526603
2023-01-30,-0.0015510663213499634
2023-01-31,-0.006886372933506842
2023-02-01,0.023187660351956355
2023-02-02,-0.0005949969495464597
2023-02-03,-0.0047974221781493555
2023-02-06,-0.004778863660206223
2023-02-07,0.009481203097478373
2023-02-08,-0.0043508665330223295
2023-02-09,0.02186743162351816
2023-02-10,-0.005594534681136919
2023-02-13,0.01823409867924291
2023-02-14,0.005467899125123859
2023-02-15,0.012665602824753364
2023-02-16,-0.0203387898817898
2023-02-17,-0.011508545233633932
2023-02-20,0.03504734469779766
2023-02-21,0.006539725831310793
2023-02-22,-0.0021178751634141966
2023-02-23,-0.00691330986280747
2023-02-24,-0.00034724289674860305
2023-02-27,-0.005978021616953353
2023-02-28,0.0038941917457599802
2023-03-01,0.019503802001302518
2023-03-02,0.009812727805342524
2023-03-03,0.013134262067816895
2023-03-06,0.0028462441817969364
2023-03-07,-0.004120094774939093
2023-03-08,-0.0003945341360554999
2023-03-09,0.003456607125240604
2023-03-10,-0.009261902119289891
2023-03-13,0.029079684075799576
2023-03-14,-0.00434938143280651
2023-03-15,0.019075070787334204
2023-03-16,-0.0003497973009872962
2023-03-17,0.01370246649625553
2023-03-20,-0.013609105352758012
2023-03-21,-0.00131738317070577
2023-03-22,0.001753445643940773
2023-03-23,0.020679329709565774
2023-03-24,-0.002895940731697387
2023-03-27,-0.006428583200685304
2023-03-28,-0.019267983682673313
2023-03-29,0.00019335909850245317
2023-03-30,0.0005675198762585
2023-03-31,0.01910277078807508
2023-04-03,0.0353025213847693
2023-04-04,0.004477682140753263
2023-04-06,0.004224689235629053
2023-04-07,0.008822274987297771
2023-04-10,-0.008677117187552551
2023-04-11,0.00571616876756989
2023-04-12,-0.0032408472447125803
2023-04-13,-0.0037289919641316665
2023-04-14,0.006129845410229473
2023-04-17,0.011439345626918748
2023-04-18,-0.003794186712354507
2023-04-19,-0.008731658079900916
2023-04-20,-0.0010465478089853363
2023-04-21,-0.019902505479553197
2023-04-24,-0.010011627648228041
2023-04-25,-0.00424131536594187
2023-04-26,-0.0025592256561195593
2023-04-27,0.008757807495922787
2023-04-28,0.00952274994651087
2023-05-04,0.01042236958940349
2023-05-05,-0.004364186854980697
2023-05-08,0.023218254138933265
2023-05-09,-0.012582717700209411
2023-05-10,-0.02783460678802241
2023-05-11,-0.005953334482297277
2023-05-12,-0.010155384320234316
2023-05-15,0.022475371498344037
2023-05-16,-0.008347311799429609
2023-05-17,0.001806197091000513
2023-05-18,0.006742584384705519
2023-05-19,-0.014785171966998927
2023-05-22,-0.008607013295135706
2023-05-23,-0.01594938549974898
2023-05-24,-0.016743442909822482
2023-05-25,0.010046637112969244
2023-05-26,0.0032091945421660736
2023-05-29,-0.016269079520477955
2023-05-30,-0.004464676316798837
2023-05-31,-0.0063785328000371105
2023-06-01,0.0025763235476333867
2023-06-02,0.01056407011281172
2023-06-05,0.007080716151398815
2023-06-06,-0.007389809987935643
2023-06-07,-0.0024358020771560965
2023-06-08,0.012464413946558287
2023-06-09,0.015408981717551161
2023-06-12,0.010622634813826035
2023-06-13,0.011885057889903232
2023-06-14,-0.0009879278936244934
2023-06-15,0.013001377658322228
2023-06-16,0.0065369792450107895
2023-06-19,0.0016093919672636296
2023-06-20,0.0036084712344735337
2023-06-21,-0.014873273285196682
2023-06-26,-0.02466693667932259
2023-06-27,0.008772094137384617
2023-06-28,-0.0007926598666605729
2023-06-29,-0.0007903288725654259
2023-06-30,0.009132145000540411
2023-07-03,0.010799147673412477
2023-07-04,0.007875991481523603
2023-07-05,-0.008514153877464606
2023-07-06,-0.009892650346445644
2023-07-07,-0.006465022405937073
2023-07-10,-0.0004063917101328264
2023-07-11,0.00511160347602029
2023-07-12,-0.005619440515308633
2023-07-13,0.006013337770708184
2023-07-14,-0.00281523239288461
2023-07-17,-0.007863358408501466
2023-07-18,0.0011722217114751134
2023-07-19,-0.003529893448575771
2023-07-20,-0.009921581380423585
2023-07-21,-0.002181031570621617
2023-07-24,0.008863169279242562
2023-07-25,0.025023324467021397
2023-07-26,-0.01580676213866868
2023-07-27,-0.0042665900275617365
2023-07-28,0.040135052470376485
2023-07-31,0.003937265490363124
2023-08-01,0.004439822446414379
2023-08-02,2.8092212962703192e-05
2023-08-03,0.023559632932992545
2023-08-04,0.0050316721606868805
2023-08-07,-0.007578007316381072
2023-08-08,0.0020326550408402097
2023-08-09,-0.0033304028924776297
2023-08-10,0.01236031707693381
2023-08-11,-0.027501099419268326
2023-08-14,-0.007551435424129937
2023-08-15,-0.0011005835935506206
2023-08-16,-0.003557088130276003
2023-08-17,-0.0016835542006217463
2023-08-18,-0.01169007092448679
2023-08-21,-0.016622005662876325
2023-08-22,0.010232256178073117
2023-08-23,-0.020012801030142902
2023-08-24,0.011187679502461889
2023-08-25,-0.006881416961051347
2023-08-28,0.009812205936296968
2023-08-29,0.013449159103622176
2023-08-30,-0.0058690073981384665
2023-08-31,-0.015450425836260282
2023-09-01,1.5893777440062656e-05
2023-09-04,0.011830296944077225
2023-09-05,-0.008867450066546866
2023-09-06,-0.0012622792886152563
2023-09-07,-0.013437268457093783
2023-09-08,0.004543445557550104
2023-09-11,0.004356796915867889
2023-09-12,-0.0032558983884887235
2023-09-13,-0.0034205251403439866
2023-09-14,0.0065519129050033605
2023-09-15,-0.006365350949440244
2023-09-18,-0.0009468763187211799
2023-09-19,0.00098771879835233
2023-09-20,-0.0027052165977522634
2023-09-21,-0.005734199458461277
2023-09-22,0.007044799154266606
2023-09-25,0.0008128153571974162
2023-09-26,-0.00627276102111907
2023-09-27,0.007932337179335303
2023-09-28,-0.0012626631930840637
2023-10-09,-0.00314085683761866
2023-10-10,-0.007139352845826007
2023-10-11,0.013891580985335158
2023-10-12,0.015257793861670817
2023-10-13,-0.011485341840904436
2023-10-16,-0.00927172982312095
2023-10-17,0.005430364591293593
2023-10-18,-0.013764657082899838
2023-10-19,-0.023445065042660838
2023-10-20,0.0010271203456642805
2023-10-23,-0.010469280652687079
2023-10-24,0.006518856717023137
2023-10-25,0.005381726878788969
2023-10-26,0.00400262254240161
2023-10-27,0.008015107142097284
2023-10-30,-0.0016713695436739
2023-10-31,-0.00312827580145893
2023-11-01,-0.004096659519772439
2023-11-02,-0.006574634258154767
2023-11-03,0.007506740748869106
2023-11-06,0.016697733101144356
2023-11-07,0.0006054761313701272
2023-11-08,-0.002402600784366744
2023-11-09,-0.0024655253377190867
2023-11-10,-0.0040149870270902764
2023-11-13,0.0022505462946813865
2023-11-14,0.003874825117329986
2023-11-15,0.005640266263594173
2023-11-16,-0.006335062730055057
2023-11-17,0.00396364184572973
2023-11-20,-0.00217713750721874
2023-11-21,-0.005981440057275299
2023-11-22,-0.0035602596102155696
2023-11-23,0.004941471441732033
2023-11-24,-0.00472335902601671
2023-11-27,-0.00752734458609108
2023-11-28,-0.00486248464946453
2023-11-29,-0.010632753939295449
2023-11-30,0.0044486486156507
2023-12-01,0.0002025640720767164
2023-12-04,-0.0057956263389224326
2023-12-05,-0.014326999858054799
2023-12-06,0.0006323069446625334
2023-12-07,-0.001511662582914937
2023-12-08,-0.0021158924528780028
2023-12-11,0.003280091899387991
2023-12-12,0.0008808554308046033
2023-12-13,-0.010764244264309551
2023-12-14,-0.009737295798536987
2023-12-15,-0.0015435737535895598
2023-12-18,-0.007386757151869277
2023-12-19,0.003032111551185927
2023-12-20,-0.00935603577879771
2023-12-21,0.0052081561439669835
2023-12-22,0.00457538428145795
2023-12-25,0.0013961973981796336
2023-12-26,-0.003164879080766958
2023-12-27,0.004094354183096694
2023-12-28,0.021715672804870478
2023-12-29,0.006274837752981057
